bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;ihar;20150119T220402America/Santiago(1,18,-10800,1,1421715842);0;0;506.0;39.0;21.0;94.0;31.0;67.0;3697.0;545.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220403America/Santiago(1,18,-10800,1,1421715843);0;0;1396372.0;171847.0;220368.0;20798.0;20297.0;4663.0;941364.0;1865773.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220404America/Santiago(1,18,-10800,1,1421715844);0;0;1390452.0;432474.0;252533.0;1.6775204E7;13034.0;1857.0;1388706.0;715284.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220405America/Santiago(1,18,-10800,1,1421715845);0;0;1550249.0;207115.0;321925.0;42556.0;10771.0;5307.0;1842607.0;1229955.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220406America/Santiago(1,18,-10800,1,1421715846);0;0;1.6748897E7;3018.0;22125.0;4630.0;4774.0;9013.0;29860.0;11357.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220407America/Santiago(1,18,-10800,1,1421715847);0;0;282898.0;145231.0;142651.0;6859.0;3116.0;2654.0;504941.0;549951.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220408America/Santiago(1,18,-10800,1,1421715848);0;0;399273.0;1.6762351E7;70403.0;1.6767146E7;31997.0;18444.0;406538.0;345924.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220409America/Santiago(1,18,-10800,1,1421715849);0;0;68798.0;104151.0;78147.0;1933.0;2479.0;1169.0;366321.0;242525.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220410America/Santiago(1,18,-10800,1,1421715850);0;0;168585.0;1.6746224E7;1.6772973E7;11117.0;6275.0;4215.0;195833.0;148760.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220411America/Santiago(1,18,-10800,1,1421715851);0;0;1261327.0;366065.0;285860.0;1.6756798E7;17852.0;3291.0;1513971.0;336159.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220413America/Santiago(1,18,-10800,1,1421715853);0;0;160164.0;44738.0;74789.0;4609.0;1205.0;1168.0;342013.0;159791.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220413America/Santiago(1,18,-10800,1,1421715853);0;0;621157.0;81497.0;1.6750047E7;16385.0;7153.0;2181.0;236285.0;282243.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220414America/Santiago(1,18,-10800,1,1421715854);0;0;47950.0;215486.0;47628.0;5154.0;2716.0;2836.0;457370.0;444446.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220415America/Santiago(1,18,-10800,1,1421715855);0;0;992796.0;677411.0;387267.0;17879.0;8145.0;12176.0;1996081.0;1398639.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220416America/Santiago(1,18,-10800,1,1421715856);0;0;134879.0;157457.0;34957.0;12505.0;1680.0;2733.0;539124.0;576459.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T220417America/Santiago(1,18,-10800,1,1421715857);0;0;1179186.0;599634.0;336374.0;62402.0;1.6760345E7;15147.0;1811386.0;1313586.0;default
