bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;ihar;20150119T223951America/Santiago(1,18,-10800,1,1421717991);30;84;668196.0;10424.0;82098.0;73326.0;2065.0;1210.0;299585.0;44088.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223952America/Santiago(1,18,-10800,1,1421717992);26;83;983948.0;1.6752358E7;228818.0;146978.0;14787.0;2191.0;1489515.0;1797329.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223953America/Santiago(1,18,-10800,1,1421717993);37;48;1948748.0;41998.0;225514.0;156854.0;10217.0;3760.0;1461220.0;397733.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223954America/Santiago(1,18,-10800,1,1421717994);34;50;407883.0;32501.0;212696.0;250532.0;6131.0;4596.0;1430328.0;779098.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223955America/Santiago(1,18,-10800,1,1421717995);27;50;872228.0;1.677489E7;221565.0;221678.0;11488.0;4543.0;1402631.0;405938.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223956America/Santiago(1,18,-10800,1,1421717996);43;56;1517492.0;1.6769407E7;178404.0;277447.0;11480.0;2934.0;1410094.0;446363.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223957America/Santiago(1,18,-10800,1,1421717997);37;88;446558.0;13546.0;248660.0;43114.0;9155.0;5278.0;1362253.0;1282716.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223958America/Santiago(1,18,-10800,1,1421717998);43;56;272529.0;8820.0;1.6765765E7;1.6760056E7;2954.0;841.0;358853.0;145560.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T223959America/Santiago(1,18,-10800,1,1421717999);41;56;1702246.0;18667.0;249642.0;342356.0;10290.0;3540.0;1365274.0;728915.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224000America/Santiago(1,18,-10800,1,1421718000);47;51;1514613.0;13082.0;286288.0;342641.0;4948.0;3509.0;1329188.0;345318.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224001America/Santiago(1,18,-10800,1,1421718001);51;54;1727096.0;11327.0;284282.0;430471.0;17114.0;2872.0;1308016.0;360835.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224002America/Santiago(1,18,-10800,1,1421718002);48;96;126225.0;1.6777206E7;1.6769957E7;1.67478E7;2836.0;1092.0;331893.0;170586.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224003America/Santiago(1,18,-10800,1,1421718003);53;80;540741.0;16469.0;286828.0;263460.0;4313.0;6354.0;1224417.0;413678.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224004America/Santiago(1,18,-10800,1,1421718004);54;83;53897.0;12010.0;73637.0;1.6756953E7;453.0;2152.0;261800.0;93668.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224005America/Santiago(1,18,-10800,1,1421718005);54;77;1720094.0;96245.0;117579.0;127668.0;20641.0;7062.0;1316973.0;315422.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224006America/Santiago(1,18,-10800,1,1421718006);63;69;856723.0;9090.0;277572.0;483980.0;7458.0;2660.0;1226232.0;283462.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224007America/Santiago(1,18,-10800,1,1421718007);56;100;873946.0;7800.0;1.6766255E7;53998.0;942.0;444.0;241340.0;75175.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224008America/Santiago(1,18,-10800,1,1421718008);38;100;14758.0;2569.0;226231.0;13611.0;3388.0;8541.0;1088327.0;1724864.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224009America/Santiago(1,18,-10800,1,1421718009);40;84;809852.0;17042.0;177855.0;486958.0;3486.0;1999.0;1254743.0;273650.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224010America/Santiago(1,18,-10800,1,1421718010);35;91;2222855.0;83497.0;116596.0;291298.0;23132.0;4331.0;1100582.0;400720.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224011America/Santiago(1,18,-10800,1,1421718011);43;87;510865.0;30010.0;186202.0;196432.0;4125.0;4857.0;1125920.0;218095.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224012America/Santiago(1,18,-10800,1,1421718012);47;83;965456.0;22947.0;205140.0;55137.0;7599.0;1877.0;1248830.0;921458.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224013America/Santiago(1,18,-10800,1,1421718013);54;100;675902.0;27245.0;241548.0;218543.0;3037.0;5927.0;1123015.0;262948.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224014America/Santiago(1,18,-10800,1,1421718014);51;100;145466.0;1.6759251E7;198299.0;71464.0;1.6751633E7;3777.0;1159770.0;1008500.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224015America/Santiago(1,18,-10800,1,1421718015);50;83;944621.0;12036.0;180253.0;229282.0;6558.0;1684.0;1089579.0;266199.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224016America/Santiago(1,18,-10800,1,1421718016);56;83;210436.0;3118.0;1.6774444E7;87416.0;1604.0;1553.0;289348.0;58877.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224017America/Santiago(1,18,-10800,1,1421718017);48;96;1.6757928E7;378.0;18013.0;18588.0;415.0;1.677717E7;68211.0;1.6747834E7;default
com.aiworker.bcineuroskyservice;ihar;20150119T224018America/Santiago(1,18,-10800,1,1421718018);60;93;35789.0;3874.0;1.6759639E7;22542.0;1573.0;465.0;287457.0;81262.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224019America/Santiago(1,18,-10800,1,1421718019);56;100;366708.0;8541.0;267117.0;102665.0;3700.0;2419.0;1084208.0;655862.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224020America/Santiago(1,18,-10800,1,1421718020);60;90;1293560.0;6621.0;112619.0;125077.0;7957.0;1479.0;1036037.0;164840.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224021America/Santiago(1,18,-10800,1,1421718021);61;90;691368.0;26957.0;120949.0;218700.0;9286.0;3713.0;1042010.0;274184.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224022America/Santiago(1,18,-10800,1,1421718022);44;93;347838.0;1.6766954E7;82063.0;283427.0;1.6746024E7;2180.0;1186101.0;360024.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224023America/Santiago(1,18,-10800,1,1421718023);48;100;1444393.0;30891.0;203487.0;118603.0;9076.0;3387.0;1256875.0;194882.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224024America/Santiago(1,18,-10800,1,1421718024);43;100;788124.0;27389.0;1.6750294E7;25189.0;2380.0;1433.0;243656.0;86394.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224025America/Santiago(1,18,-10800,1,1421718025);29;100;240156.0;26621.0;21359.0;1.6744942E7;7239.0;1006.0;344880.0;47501.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224026America/Santiago(1,18,-10800,1,1421718026);37;100;702858.0;1.6775297E7;181406.0;325493.0;26834.0;6028.0;1167839.0;576617.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224027America/Santiago(1,18,-10800,1,1421718027);27;100;308730.0;1.6767433E7;130522.0;112128.0;5991.0;3160.0;1117232.0;558040.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224028America/Santiago(1,18,-10800,1,1421718028);34;100;605586.0;5216.0;1.6773579E7;1.6750134E7;4110.0;427.0;237857.0;46194.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224029America/Santiago(1,18,-10800,1,1421718029);43;97;1617580.0;16447.0;219902.0;281896.0;9889.0;3443.0;1043824.0;532283.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224030America/Santiago(1,18,-10800,1,1421718030);44;97;1369084.0;11244.0;271471.0;537523.0;7745.0;4580.0;1140651.0;499872.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224031America/Santiago(1,18,-10800,1,1421718031);48;100;310015.0;10456.0;231777.0;581952.0;10445.0;5849.0;1112048.0;619719.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224032America/Santiago(1,18,-10800,1,1421718032);40;100;1095290.0;7403.0;198710.0;165700.0;2477.0;3415.0;1246778.0;574588.0;default
com.aiworker.bcineuroskyservice;ihar;20150119T224033America/Santiago(1,18,-10800,1,1421718033);41;100;187647.0;4729.0;1.675814E7;73242.0;1899.0;779.0;239004.0;1.6774723E7;default
