bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064141America/Santiago(2,33,-10800,1,1422956501);0;0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;1.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064142America/Santiago(2,33,-10800,1,1422956502);0;0;1.6749966E7;20745.0;4977.0;1.6772691E7;5250.0;2215.0;7684.0;1.6776284E7;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064143America/Santiago(2,33,-10800,1,1422956503);0;0;26610.0;7406.0;5216.0;7376.0;7137.0;2961.0;5785.0;13723.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064144America/Santiago(2,33,-10800,1,1422956504);0;0;103418.0;5624.0;2666.0;3811.0;3950.0;3046.0;1555.0;21615.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064145America/Santiago(2,33,-10800,1,1422956505);0;0;28681.0;12606.0;7368.0;2806.0;6374.0;4545.0;3458.0;10668.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064146America/Santiago(2,33,-10800,1,1422956506);44;0;1.6773217E7;2486.0;3741.0;8382.0;6936.0;6958.0;6384.0;11863.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064147America/Santiago(2,33,-10800,1,1422956507);44;44;571986.0;1.6766042E7;26818.0;27782.0;17162.0;10809.0;3732.0;50307.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064148America/Santiago(2,33,-10800,1,1422956508);26;54;285593.0;10834.0;2578.0;11211.0;4388.0;1551.0;424.0;1.6765289E7;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064149America/Santiago(2,33,-10800,1,1422956509);24;47;879679.0;1.6753E7;19403.0;1.6759264E7;30646.0;5629.0;2822.0;43598.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064150America/Santiago(2,33,-10800,1,1422956510);1;54;118380.0;23209.0;3733.0;11827.0;5557.0;5471.0;2329.0;97309.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064151America/Santiago(2,33,-10800,1,1422956511);23;38;5920.0;12137.0;24078.0;2985.0;6786.0;2453.0;1950.0;25770.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064152America/Santiago(2,33,-10800,1,1422956512);51;13;1.6766616E7;3363.0;2328.0;2303.0;2172.0;1328.0;638.0;5737.0;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064153America/Santiago(2,33,-10800,1,1422956513);48;35;71802.0;1.6748759E7;10140.0;70990.0;17040.0;5576.0;4392.0;1.675402E7;running
com.aiworker.bcineuroskyservice;SkinnerLayne;20150203T064154America/Santiago(2,33,-10800,1,1422956514);61;48;33319.0;16513.0;16473.0;1.6757994E7;15832.0;3276.0;2116.0;110825.0;running
