bciApp;username;time;att;med;delta;high_alpha;high_beta;low_alpha;low_beta;low_gamma;mid_gamma;theta;CurrentActivity
com.aiworker.bcineuroskyservice;ihar;20141224T114236America/Santiago(3,357,-10800,1,1419432156);0;0;4.0;0.0;2.0;3.0;0.0;1.0;0.0;2.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114237America/Santiago(3,357,-10800,1,1419432157);0;0;178445.0;9913.0;3888.0;17992.0;1201.0;3202.0;1942.0;75053.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114238America/Santiago(3,357,-10800,1,1419432158);0;0;58925.0;52460.0;1.6767675E7;134919.0;1.6765176E7;20458.0;11612.0;1.6760359E7;default
com.aiworker.bcineuroskyservice;ihar;20141224T114239America/Santiago(3,357,-10800,1,1419432159);0;0;966499.0;14543.0;4561.0;11429.0;1614.0;2329.0;2167.0;26229.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114240America/Santiago(3,357,-10800,1,1419432160);0;0;860431.0;21439.0;5935.0;29751.0;31547.0;7474.0;1000.0;67597.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114241America/Santiago(3,357,-10800,1,1419432161);34;0;3271898.0;20787.0;3020.0;10272.0;4474.0;917.0;364.0;1.6748587E7;default
com.aiworker.bcineuroskyservice;ihar;20141224T114242America/Santiago(3,357,-10800,1,1419432162);37;54;390576.0;1807.0;2166.0;3575.0;2214.0;1085.0;1.6777168E7;28822.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114243America/Santiago(3,357,-10800,1,1419432163);37;37;1589272.0;6682.0;1765.0;5055.0;6327.0;1.6777174E7;93.0;16498.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114244America/Santiago(3,357,-10800,1,1419432164);29;37;58067.0;2485.0;645.0;1235.0;1234.0;531.0;1.6777206E7;17889.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114245America/Santiago(3,357,-10800,1,1419432165);24;23;182834.0;22341.0;17446.0;1.676142E7;21330.0;10166.0;4799.0;334498.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114246America/Santiago(3,357,-10800,1,1419432166);24;8;1.6768022E7;3719.0;1094.0;8933.0;1976.0;2193.0;3187.0;12674.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114247America/Santiago(3,357,-10800,1,1419432167);24;8;1575721.0;12074.0;4711.0;13884.0;5558.0;2003.0;927.0;1.6760917E7;default
com.aiworker.bcineuroskyservice;ihar;20141224T114248America/Santiago(3,357,-10800,1,1419432168);20;8;1725150.0;20833.0;6947.0;13345.0;6440.0;4411.0;950.0;90109.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114249America/Santiago(3,357,-10800,1,1419432169);35;24;898821.0;7010.0;4719.0;26814.0;1413.0;1893.0;891.0;25943.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114250America/Santiago(3,357,-10800,1,1419432170);35;61;516437.0;4518.0;621.0;4779.0;1186.0;374.0;1.6777181E7;10422.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114251America/Santiago(3,357,-10800,1,1419432171);21;61;52136.0;1499.0;691.0;1401.0;823.0;305.0;1.6777215E7;1.6755983E7;default
com.aiworker.bcineuroskyservice;ihar;20141224T114252America/Santiago(3,357,-10800,1,1419432172);24;57;809766.0;5631.0;4249.0;6768.0;19641.0;3374.0;1440.0;95854.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114253America/Santiago(3,357,-10800,1,1419432173);26;29;2213236.0;13914.0;30309.0;1.6774018E7;15067.0;3410.0;5684.0;534405.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114254America/Santiago(3,357,-10800,1,1419432174);41;24;124983.0;1928.0;4077.0;3152.0;1114.0;2706.0;1133.0;27102.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114255America/Santiago(3,357,-10800,1,1419432175);83;1;17334.0;8961.0;17633.0;10254.0;3030.0;4705.0;1947.0;16604.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114256America/Santiago(3,357,-10800,1,1419432176);97;23;998846.0;1.6746792E7;31484.0;22463.0;7384.0;3755.0;4718.0;43939.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114257America/Santiago(3,357,-10800,1,1419432177);100;43;53031.0;2340.0;9219.0;13241.0;3131.0;924.0;373.0;1.6768333E7;default
com.aiworker.bcineuroskyservice;ihar;20141224T114258America/Santiago(3,357,-10800,1,1419432178);83;51;1120426.0;13120.0;12899.0;28795.0;6302.0;1895.0;1146.0;84431.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114259America/Santiago(3,357,-10800,1,1419432179);53;66;1543108.0;13330.0;2594.0;9476.0;3510.0;1337.0;1.6777177E7;1.6748078E7;default
com.aiworker.bcineuroskyservice;ihar;20141224T114300America/Santiago(3,357,-10800,1,1419432180);53;67;483013.0;2834.0;1586.0;10837.0;1748.0;253.0;1.6777136E7;22425.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114301America/Santiago(3,357,-10800,1,1419432181);37;67;768194.0;3232.0;2087.0;12131.0;6076.0;1615.0;820.0;23551.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114302America/Santiago(3,357,-10800,1,1419432182);26;70;435858.0;25924.0;12420.0;26242.0;17178.0;2422.0;915.0;149899.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114303America/Santiago(3,357,-10800,1,1419432183);8;77;725191.0;14385.0;3592.0;8044.0;13755.0;1563.0;1023.0;54108.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114304America/Santiago(3,357,-10800,1,1419432184);20;60;349067.0;2264.0;2315.0;1141.0;1221.0;1198.0;590.0;19608.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114305America/Santiago(3,357,-10800,1,1419432185);26;41;510189.0;4520.0;3477.0;10097.0;4826.0;9826.0;2157.0;23384.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114306America/Santiago(3,357,-10800,1,1419432186);26;41;1838029.0;1927.0;2404.0;9078.0;2702.0;1622.0;1003.0;10772.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114307America/Santiago(3,357,-10800,1,1419432187);34;41;1135789.0;11113.0;20569.0;13469.0;9031.0;22882.0;2983.0;108002.0;default
com.aiworker.bcineuroskyservice;ihar;20141224T114308America/Santiago(3,357,-10800,1,1419432188);70;27;1.6746423E7;2437.0;7960.0;1985.0;5349.0;3052.0;2158.0;13036.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141224T114309America/Santiago(3,357,-10800,1,1419432189);91;29;135157.0;7190.0;20716.0;10926.0;1669.0;10619.0;2188.0;22822.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141224T114310America/Santiago(3,357,-10800,1,1419432190);100;43;6050.0;3225.0;22905.0;2312.0;5440.0;4927.0;5241.0;14857.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141224T114311America/Santiago(3,357,-10800,1,1419432191);100;24;25793.0;7945.0;7195.0;4894.0;14880.0;19514.0;5883.0;9159.0;yoga
com.aiworker.bcineuroskyservice;ihar;20141224T114312America/Santiago(3,357,-10800,1,1419432192);100;41;885334.0;3417.0;947.0;6461.0;3086.0;567.0;1.6777163E7;5238.0;yoga
